_id,SchoolYear,HBR,HBRQF,ValidReviews,EpiUnderweight,LCIEpiUnderweight,UCIEpiUnderweight,EpiHealthyWeight,LCIEpiHealthyWeight,UCIEpiHealthyWeight,EpiOverweight,LCIEpiOverweight,UCIEpiOverweight,EpiObese,LCIEpiObese,UCIEpiObese,EpiOverweightAndObese,LCIEpiOverweightAndObese,UCIEpiOverweightAndObese
195,2018/19,S08000029, ,2682,0.0100671140939597,0.00788388782661883,0.0122503403613006,0.77889634601044,0.769820624317748,0.787972067703132,0.112229679343773,0.105326525557207,0.11913283313034,0.098806860551827,0.0922808786467615,0.105332842456893,0.2110365398956,0.202112723004405,0.219960356786795
196,2019/20,S08000029, ,2681,0.010443864229765,0.00825660119971098,0.012631127259819,0.756434166355837,0.747199016697298,0.765669316014376,0.119731443491235,0.112746516204896,0.126716370777574,0.113390525923163,0.106568635261935,0.120212416584391,0.233121969414398,0.224024828214919,0.242219110613877
197,2021/22,S08000029, ,3184,0.0157035175879397,0.0141985638422631,0.0172084713336163,0.772613065326633,0.767539357076971,0.777686773576296,0.11714824120603,0.113255339010845,0.121041143401215,0.094535175879397,0.0909936189855611,0.0980767327732329,0.211683417085427,0.206738540430826,0.216628293740029
198,2022/23,S08000029, ,3024,0.0109126984126984,0.00938712726814156,0.0124382695572553,0.771164021164021,0.764995449572419,0.777332592755623,0.110780423280423,0.106171652658999,0.115389193901848,0.107142857142857,0.102601123336564,0.11168459094915,0.21792328042328,0.211861145906037,0.223985414940524
199,2023/24,S08000029, ,3062,0.0107772697583279,0.00949765100033998,0.0120568885163158,0.7472240365774,0.741837960523025,0.752610112631776,0.129653821032005,0.12549071136703,0.13381693069698,0.112344872632266,0.108431259085201,0.116258486179332,0.241998693664272,0.236690818924623,0.247306568403921
200,2002/03,S08000030, ,4141,0.0144892538034291,0.0135228761786475,0.0154556314282107,0.766481526201401,0.763060119973813,0.769902932428989,0.124124607582709,0.12145809719064,0.126791117974779,0.0949046124124608,0.0925344177838179,0.0972748070411036,0.21902921999517,0.21568448592047,0.222373954069871
201,2003/04,S08000030, ,4024,0.0161530815109344,0.0151081176078121,0.0171980454140567,0.758200795228628,0.754651604132407,0.76174998632485,0.120278330019881,0.117581980603121,0.12297467943664,0.105367793240557,0.1028228034875,0.107912782993614,0.225646123260437,0.222181200896334,0.22911104562454
202,2004/05,S08000030, ,3868,0.0129265770423992,0.0120848580926539,0.0137682959921444,0.770941054808687,0.767809681676447,0.774072427940926,0.113753877973113,0.111387898974721,0.116119856971504,0.102378490175801,0.100119566321311,0.104637414030292,0.216132368148914,0.213065240311931,0.219199495985898
203,2005/06,S08000030, ,3812,0.0149527806925498,0.0140224046231234,0.0158831567619763,0.748163693599161,0.744836128889141,0.751491258309181,0.133263378803778,0.130658017201967,0.135868740405588,0.103620146904512,0.101283800850285,0.105956492958739,0.23688352570829,0.233624169182742,0.240142882233837
204,2006/07,S08000030, ,3962,0.01665825340737,0.0158273520972767,0.0174891547174633,0.763250883392226,0.760491193299551,0.766010573484901,0.12796567390207,0.125796991240294,0.130134356563845,0.0921251892983342,0.0902476689480163,0.094002709648652,0.220090863200404,0.217401153036873,0.222780573363935
205,2007/08,S08000030, ,3689,0.0178910273786934,0.0168739300236552,0.0189081247337316,0.78476551911087,0.78161203297931,0.78791900524243,0.113038763892654,0.110609184668796,0.115468343116512,0.0843046896177826,0.08217279169089,0.0864365875446752,0.197343453510436,0.194289648639396,0.200397258381477
